Nº CFM,Nome da Instituição,Sigla,CNPJ,Endereço,Município,Região,Telefone Institucional,E-mail Institucional,Site,Facebook,Instagram,Twitter,Natureza Administrativa do Museu,Documento de Criação,Situação,Funcionamento,Valor ingresso,Gratuidades,Setor Educativo,Acervo Predominante,Museólogo,Acessibilidade,Histórico,Responsável pelo Casdastro,"Data 
Cadastro",Certificado enviado,Lat,Lng
1,Centro Cultural do Ministério da Saúde,CCMS,-,"Avenida Marechal Âncora, 95",Rio de Janeiro,Metropolitana I,(21) 3985-7264,ccms@saude.gov.br,http://www.ccms.saude.gov.br,-,-,-,Federal,Portaria,"Aberto, funcionando parcialmente",Segunda a Sexta - Manhã e Tarde,Gratuito,-,Sim,Outros,Sim,Elevador,"""O Centro Cultural do Ministério da Saúde (CCMS), unidade da Coordenação-Geral de Documentação e Informação da Subsecretaria de Assuntos Administrativos da Secretaria-Executiva, está situado no corredor cultural do Rio de Janeiro e foi aberto ao público em 2001, com a exposição Memória da Loucura.

Levar à sociedade informação em saúde de qualidade, com sensibilidade, utilizando uma linguagem criativa e acessível para a população, bem como resgatar a história e dar visibilidade à evolução da saúde pública e às redes informacionais disponíveis, evidenciando a atuação e as políticas governamentais do setor, estimulando a participação da sociedade brasileira por melhores condições de vida é seu objetivo.

As exposições locais, virtuais e itinerantes, com alcance internacional, agregam palestras, oficinas, exibição de filmes com debates e mostras afins, visando aproximar o público do tema saúde. Com abordagens artísticas, lúdicas e atraentes, seduz os visitantes, dando a eles a dimensão e a importância do passado, do presente e do futuro da trajetória da saúde, essencial para a qualidade de vida da população. 
A unidade tem como espaço ampliado de exposições o túnel que liga o edifício sede ao edifício anexo do Ministério da Saúde, em Brasília.""",Edileuza Jordana Motta dos Santos - Coordenadora,07/12/2022,OK,-22.9110137,-43.2093727
2,Museu Aeroespacial,Musal,39.442.901/0045-94,"Avenida Marechal Fontenelle, 2000 - Sulacap",Rio de Janeiro,Metropolitana I,(21) 2157-2537,museuaeroespacial@gmail.cm,http://www.fab.mil.br/musal,-,@museuaeroespacial,@musal_oficial,Federal,Decreto,Aberto,Terça a Domingo - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,"O Museu Aeroespacial está sempre procurando melhor atender as pessoas portadoras de PNE, com tampas de acesso, elevadores, cadeiras de rodas e outros acessos.","""A ideia de um Museu Aeronáutico data de 1943, quando o então Ministro da Aeronáutica, Dr. Salgado Filho, determinou sua organização, sendo o trabalho inicial e posteriores tentativas, interrompidos por falta de local disponível.

Atendendo à Exposição de Motivos do Ministro da Aeronáutica, Ten-Brig-do-Ar - Araripe Macedo, o Presidente Emílio Garrastazu Médici, cria o Núcleo do Museu Aeroespacial em 31 de julho de 1973, através do Decreto nº 72.553.  Em janeiro de 1974, iniciam-se os trabalhos de restauração do prédio e hangares (antiga """"Divisão de Instrução de Voo""""  da Escola de Aeronáutica), simultaneamente à coleta de acervo, restauração de aviões, motores, armas e outras peças de valor histórico.

O Museu Aeroespacial foi inaugurado em 18 de outubro de 1976.

A importância dessa criação deve-se à necessidade de preservação e divulgação do material aeronáutico e documentos históricos para as futuras gerações.

Situado no Campo dos Afonsos, """"Berço da Aviação Militar"""", o Museu Aeroespacial recebe o apoio logístico da Universidade da Força Aérea - UNIFA e está subordinado administrativamente ao Instituto Histórico-Cultural da Aeronáutica - INCAER""",João Marcelo Rimes Azevedo - Assessoria de Comunicação,07/12/2022,OK,-22.8822012,-43.3888471
3,Centro Cultural do Patrimônio Paço Imperial,CCPPI,26.474.056/0001-58,"Praça XV, 48 - Centro",Rio de Janeiro,Metropolitana I,(21) 2215-1784,diretoria@pacoimperial.org.br,http://amigosdopacoimperial.org.br,pacoimperial,@pacoimperial_rj,-,Federal,Decreto,Aberto,Terça a Domingo - Manhã e Tarde,Gratuito,-,Sim,Artes Visuais,Sim,"O espaço possui elevador para pessoas com mobilidade reduzida, áudio guia bilíngue, que podem ser utilizados por deficientes visuais e mediadora que usa LIBRAS","""Situado no corredor cultural do Rio de Janeiro, o Paço Imperial é um raro exemplo de monumento histórico que, em diferentes momentos, foi palco de importantes acontecimentos de nossa história.
Antiga residência do governador e do Vice-Rei no século XVIII, o Paço Imperial no Rio de Janeiro foi o centro das movimentações políticas e sociais da época, registrando importantes fatos históricos do Brasil Colônia, Real e Imperial. Entre eles, o Dia do Fico, a Abolição da Escravidão e a Proclamação da Independência do Brasil. 
Em 1938, o Paço Imperial foi tombado pelo Instituto do Patrimônio Histórico e Artístico Nacional (IPHAN) / Ministério da Cultura e em 1985, depois de restaurado, tornou-se um centro cultural vinculado ao IPHAN. Mais do que um museu, o Paço Imperial é um espaço voltado para a pesquisa e a produção de conteúdo e para o mapeamento, o incentivo e a difusão de manifestações artísticas e intelectuais.
Atualmente, é um espaço multicultural com programação de artes visuais, artes cênicas, música, seminários e serviços de lojas e restaurantes. O local abriga também a Biblioteca Paulo Santos, originária do acervo particular do arquiteto e historiador. A Biblioteca conta com cerca de oito mil volumes e 250 títulos de periódicos, além de obras raras dos séculos XVI a XVIII sobre arquitetura, engenharia e literatura brasileira e portuguesa.
No Paço Imperial, as expressões do mundo atual dialogam com as referências do passado, convidando o visitante a passear pelos tempos. Sua programação diversificada inclui exposições de artes visuais, arquitetura e design, espetáculos de artes cênicas, concertos musicais, seminários e palestras.""",Marilda Samico - Assistente da Diretoria,07/12/2022,OK,-22.9035895,-43.1741692
4,Casa Stefan Zweig,CSZ,08.035.896/0001-56,"Rua Gonçalves Dias, 34 ",Petrópolis,Serrana,(24) 2245-4316,casastefanzweig@gmail.com,http://www.casastefanzweig.org.br,casastefanzweig,@casastefanzweig.educativo,@csz.digital,Privada,Estatuto Social,Aberto,Sexta a Domingo - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,"Há 10 anos existe uma plataforma elevatória para visitantes com problemas de mobilidade / legendas em braile para deficientes visuais. //Temos um elevador que garante o acesso á pessoas com dificuldade de locomoção e também prezamos por um espaço agradável e de fácil acesso a todos, sendo uma de nossas prioridades","A CASA STEFAN ZWEIG é uma entidade cultural de direito privado, sem fins lucrativos, com sede e foro na cidade de Petrópolis.
Seu principal objetivo é homenagear a memória de Stefan Zweig na casa que serviu de última morada para o escritor e sua mulher, através do acervo físico com objetos pessoais e relativos às suas obras e à sua época, com coleção de livros, fotos, documentos, vídeos, filmes, biblioteca.
O museu CASA STEFAN ZWEIG será também um Memorial do Exílio, destinado a divulgar as obras de outros artistas, intelectuais e cientistas que se refugiaram no Brasil durante no período 1933-1945 e que contribuíram para a cultura, as artes e a ciência do país.
Em 2005 um grupo de amigos e admiradores do autor austríaco Stefan Zweig se reuniu em torno do jornalista e biógrafo Alberto Dines para fundar uma associação. Com apoio do então cônsul-geral da Alemanha, Dr. Stephan Krier, e do prefeito de Petrópolis, Rubens Bomtempo, foi assinado um convênio entre a CSZ e a Prefeitura de Petrópolis, em outubro de 2006, permitindo o início dos preparativos para a reabilitação do imóvel e sua conversão em um pequeno museu. O museu Casa Stefan Zweig /Memorial do Exílio foi inaugurado em 2012. Dez anos depois, faz parte co circuito cultural da cidade de Petrópolis, oferecendo exposicoes fixas e itinerantes e outros eventos, além de promover visitas de escolas e aulas vivas de História.   ",Kristina Michahelles - Diretora,07/12/2022,OK,-22.5205086,-43.1889927
5,Casa de Memória Arthur Dalmasso,Cmad,-,"Praça Baltasar da Silveira, 91",Teresópolis,Serrana,(21) 2742-2910,sph.tere@gmail.com,-,cmadtere,@cmadtere,-,Municipal,Decreto,Aberto,Terça a Domingo - Manhã e Tarde,Gratuito,-,Não,Histórico,Não,,"""Na praça da matriz de Santa Teresa, atual Praça Baltazar da Silveira, 91, sobre os escombros da primeira oficina gráfica e da primeira agência dos Correios e Telégrafos na Várzea, o Sr. José Lino de Oliveira Leite, ex-vereador e prefeito interino na época de 1920 a 1924 constrói um belíssimo casarão, mistura de vários estilos arquitetônicos: normando, neoclássico e “art-noveau”, grafado com o nome de VILA CECILIA, em homenagem a sua esposa Cecília da Silva Leite.
Em 13 de julho de 1982 foi tombado pelo INEPAC (Instituto Estadual do Patrimônio Cultural) e desapropriado pela Prefeitura de Teresópolis em 1987.
Restaurado o prédio passou a denominar-se Casa da Memória Arthur Dalmasso, através do Decreto Nº 2.800, de 26 de agosto de 2009. O espaço também abriga o Patrimônio Histórico, Artísitico e Cultural do município.
No local são oferecidas diversas exposições com a história da cidade, além de atividades como cineclube, clube do livro, apresentações de teatro, música e poesia.""",Rafael Carrêa Silva - Diretor,07/12/2022,OK,-22.2978038,-42.8646411
6,Museu Imperial,Mimp,10.898.596/0003-04,"Rua da Imperatriz, 220",Petrópolis,Serrana,(61) 3521-4455,mimp.faleconosco@museus.gov.br,http://www.museuimperial.museus.gov.br,museuimperial,@museu.imperial,-,Federal,Decreto,Aberto,Terça a Domingo - Manhã e Tarde,R$ 1 a 10,"Todos - Quarta-Feira 
Grupos Escolares",Sim,Histórico,Sim,"Rampas de acesso, vagas exclusivas, elevador adaptado, banheiros adaptados, cadeiras de rodas disponíveis.","O Museu Imperial possui o principal acervo do país relativo ao império brasileiro. O Palácio Imperial de Petrópolis, hoje Museu Imperial, foi a residência predileta do imperador D. Pedro II e cenário de muitos momentos marcantes da vida do monarca e da história do Brasil. Sua construção, iniciada em 1845, por determinação do jovem imperador e a expensas de sua dotação pessoal, deu origem à cidade de Petrópolis. Ao longo dos 167 anos de sua existência, o Palácio serviu como residência de verão da família e educandário, até se tornar Museu, criado por Decreto pelo Presidente Getúlio Vargas em 1940 e aberto à visitação pública em 1943. Além de abrigar vasto e importante acervo histórico e artístico é também palco de inúmeros espetáculos, eventos, exposições e atividades voltadas para a educação e entretenimento. Recebe uma média 350 mil visitantes/ano.",Isabela Verleun - Núcleo de Relações Institucionais,07/12/2022,OK,-22.5077149,-43.1756675
7,Museu Histórico Nacional,MHN,10.898.596/0027-81,"Praça Marechal Âncora, S/N",Rio de Janeiro,Metropolitana I,"(21) 3299-0444
(21) 3299-0321",mhn@museus.gov.br,http://www.mhn.museus.gov.br,museuhistoriconacional,@museuhistoriconacional,@museuhistoriconacional,Federal,Decreto,Aberto,Quarta a Domingo - Manhã e Tarde,R$ 1 a 10,"Grupos Escolares 
Professores 
PCD 
Membros ICOM 
Membros AAMHN ",Sim,Histórico,Sim,"Adequações físicas arquitetônicas, sinalizações e legendas, audioguias, vídeos em LIBRAS, recursos sensoriais, capacitação de profissionais.// Rampas de acesso
Plataformas de elevação
Objetos táteis
Áudio guia
Politica de acessibilidade no plano museologico","""Numa ponta que avançava sobre o mar, posteriormente conhecida como Ponta do Calabouço, entre as praias de Piaçaba e Santa Luzia, no centro histórico do Rio de Janeiro (RJ), os portugueses construíram, em 1603, a fortaleza de Santiago, origem do conjunto arquitetônico que abriga o Museu Histórico Nacional.

Ao longo dos séculos, outras edificações somaram-se à fortaleza, como a prisão do Calabouço (1693), destinada ao castigo de escravizados; a Casa do Trem (1762), para a guarda do “trem de artilharia” (armas e munições); o Arsenal de Guerra (1764) e um quartel para abrigar tropas militares (1835).

Por sua localização estratégica para defesa da baía da Guanabara, e da própria cidade, a região foi uma área militar até 1908, quando o Arsenal de Guerra foi transferido para a Ponta do Caju.

Na década de 1920, o complexo do Calabouço foi aterrado e reurbanizado para acolher a Exposição Internacional comemorativa do Centenário da Independência do Brasil. Para integrar o evento, as edificações do antigo Arsenal de Guerra foram ampliadas e embelezadas com decoração característica da arquitetura neocolonial.

Em 1922, foram abertas ao público, abrigando o palácio das Grandes Indústrias, um dos mais visitados pavilhões da exposição do centenário, e as duas primeiras galerias do Museu Histórico Nacional, criado naquele mesmo ano, pelo presidente Epitácio Pessoa, para dotar o Brasil de um museu dedicado à história nacional.

Atualmente, o Museu Histórico Nacional ocupa todo o complexo arquitetônico do Calabouço e tornou-se um dos mais importantes museus de história do país. Reunindo um acervo com mais de 300 mil itens arquivísticos, bibliográficos e museológicos, é uma instituição federal de produção e difusão de conhecimento.

Da fortaleza de Santiago e da prisão do Calabouço restam apenas as fundações. No entanto, permaneceram até hoje a Casa do Trem, restaurada ao seu aspecto colonial na década de 1990; o prédio do Arsenal de Guerra, e seu imponente pátio da Minerva; e o pavilhão da Exposição de 1922, atual Biblioteca, formando um dos mais significativos conjuntos arquitetônicos da cidade, com uma área de 20.000m².

O Museu Histórico Nacional mantém, em 9.000m² de área aberta ao público, galerias de exposições de longa duração e temporárias, loja de souvenirs e publicações, além de biblioteca especializada em História do Brasil, História da Arte, Museologia e Moda; do Arquivo Histórico, com importantes documentos manuscritos, aquarelas, ilustrações e fotografias, entre as quais exemplares de Juan Gutierrez, Augusto Malta e Marc Ferrez; e Arquivo Institucional, responsável pela preservação da memória institucional.

Arquivos, biblioteca, reservas técnicas e numismática podem ser consultadas mediante agendamento prévio.""","Fernanda Santana R. Castro - Diretora
Diego Guarnieri Tubbs",07/12/2022,OK,-22.9033654,-43.1712120
8,Museu de Arte Moderna - Resende,MAM Resende,-,"Rua Dr. Cunha Ferreira, 104",Resende,Médio Paraíba,(24) 3360-4470,mam.resende@gmail.com,-,-,@casadaculturamacedomiranda,-,Municipal,Lei,Aberto,Segunda a Sexta - Manhã e Tarde,Gratuito,-,Não,Artes Visuais,Sim,Comunicacional com etiquetas em braile. Rampa de acesso para os cadeirantes.,"O MAM Resende tem significativa importância no Sul do Estado do Rio de Janeiro, por ser o primeiro museu desta classificação a ser criado no interior e o quarto museu de arte a ser fundado no país, segundo consta no livro “Museus acolhem o Moderno” de Maria Cecília França. A instituição foi regulamentada em 19 de abril de 1950 pela Lei Municipal de no. 100 e é uma instituição vinculada a Fundação Casa de Cultura Macedo Miranda, órgão da Prefeitura Municipal de Resende encarregado da promoção, incentivo e valorização da cultura. O acervo do MAM é composto atualmente por 825 obras de arte catalogadas no Livro de Tombo, sendo que as 27 primeiras obras de arte do acervo foram adquiridas na ocasião da fundação do MAM em 1950 e as demais vindas de doações de colecionadores, fundações, instituições culturais, museus, artistas ou através dos prêmios de aquisição do salão da primavera onde anualmente as 3 obras vencedoras passam a ser parte do acervo do museu. Fazem parte de nosso acervo obras de arte de artistas renomados como Iberê Camargo, Tarsila do Amaral, Santa Rosa, Guignard, Oswaldo Goeldi, Alfredo Ceschiatti, Lasar Segall, Carlos Scliar, Rubem Breitman, Abelardo e Aloísio Zaluar, Aldo Bonadei, Fayga Ostrower, entre outros. Temos como missão, garantir o acesso irrestrito à população através de atividades, prioritariamente, no campo das artes visuais e plásticas, garantindo o protagonismo do Museu na arte moderna e contemporânea do município de Resende e região, por meio do acervo, estudos, pesquisas, exposições e projetos culturais – promovendo a Educação em Museus, a gestão e a produção artística local, nacional e internacional. ",Tatiana Avelino de Souza Pereira - Museóloga,07/12/2022,OK,-22.4694489,-44.4487719
9,Centro Alceu Amoroso Lima para a Liberdade,CAALL,-,"Rua Mosela, 289 - Mosela",Petrópolis,Serrana,(24) 2242-6433,centroamorosolima@yahoo.com.br,-,CentroAlceu,@centroalceu_caall,-,Privada,Estatuto Social,"Aberto, funcionando parcialmente","Terça, Quarta e Sexta - Manhã e Tarde",Gratuito,-,Sim,Outros,Não,Não temos Acessibilidade Universal,"""CENTRO ALCEU AMOROSO LIMA PARA A
LIBERDADE
Criado pela Sociedade Brasileira de Instrução, o Centro Alceu Amoroso Lima para a Liberdade, unidade da Universidade Candido Mendes, propõe-se a divulgar a vida e a mensagem de seu patrono, aprofundando seu compromisso com a liberdade, a justiça e os valores da pessoa humana.
São objetivos do Centro:
a) A preservação do legado de Alceu Amoroso Lima, através da organização e edição de seus escritos inéditos e edição de suas obras;
b) O patrocínio jurídico às manifestações que
concorram para a conquista e o aperfeiçoamento dos direitos da pessoa humana;
c) A promoção de cursos, colóquios, seminários e debates que difundam a visão universalista de Alceu Amoroso Lima sobre os problemas do nosso tempo, à luz de seu compromisso cristão e da sua abertura a todos os homens de boa vontade;
d) O estudo e a pesquisa sistemática de temas relativos à liberdade e à libertação."" ""Criado pela Sociedade Brasileira de Instrução, o Centro Alceu Amoroso Lima para a Liberdade, unidade da Universidade Candido Mendes, propõe-se a divulgar a vida e a mensagem de seu patrono, aprofundando seu compromisso com a liberdade, a justiça e os valores da pessoa humana.
São objetivos do Centro:
a) A preservação do legado de Alceu Amoroso Lima, através da organização e edição de seus escritos inéditos e edição de suas obras;
b) O patrocínio jurídico às manifestações que
concorram para a conquista e o aperfeiçoamento dos direitos da pessoa humana;
c) A promoção de cursos, colóquios, seminários e debates que difundam a visão universalista de Alceu Amoroso Lima sobre os problemas do nosso tempo, à luz de seu compromisso cristão e da sua abertura a todos os homens de boa vontade;
d) O estudo e a pesquisa sistemática de temas relativos à liberdade e à libertação."" ""Criado pela Sociedade Brasileira de Instrução, o Centro Alceu Amoroso Lima para a Liberdade, unidade da Universidade Candido Mendes, propõe-se a divulgar a vida e a mensagem de seu patrono, aprofundando seu compromisso com a liberdade, a justiça e os valores da pessoa humana.
São objetivos do Centro:
a) A preservação do legado de Alceu Amoroso Lima, através da organização e edição de seus escritos inéditos e edição de suas obras;
b) O patrocínio jurídico às manifestações que
concorram para a conquista e o aperfeiçoamento dos direitos da pessoa humana;
c) A promoção de cursos, colóquios, seminários e debates que difundam a visão universalista de Alceu Amoroso Lima sobre os problemas do nosso tempo, à luz de seu compromisso cristão e da sua abertura a todos os homens de boa vontade;
d) O estudo e a pesquisa sistemática de temas relativos à liberdade e à libertação.""",Maria Helena Arrochellas - Diretora,07/12/2022,OK,-22.4924921,-43.2044843
10,Museu Fazenda Bom Jardim,-,28.561.041/0001-76,"Rua Luís Corrêa, 7 - Centro",Bom Jardim,Serrana,(22) 98155-1848,fazenda.turismo@gmail.com,-,museufazendabomjardim,@museufazendabomjardim,-,Municipal,Lei,Aberto,Segunda a Sexta - Manhã e Tarde,Gratuito,-,Não,Histórico,Não,"No presente momento, de acordo com os parâmetros o Museu Fazenda Bom Jardim não possui equipamentos que voltados para a acessibilidade, tendo em vista os padrões supracitados. ","O Museu está instalado em uma edificação construída no fim do século XIX.  Antes, porém, de se tornar Museu, a edificação abrigava os cômodos da antiga Fazenda Bom Jardim. A Fazenda pertenceu ao coronel Luiz Corrêa da Rocha Sobrinho, um dos maiores plantadores de café do Estado na época e personalidade atuante na urbanização, emancipação e vida política da cidade.
A Fazenda é originária de uma sesmaria e se destacou no momento do café com a vinda do trem para escoamento do produto e a partir de então tudo passa a se concentrar em torno da ferrovia, o que dá lugar a um núcleo urbano e com isso a Fazenda Bom Jardim dá o nome ao distrito e posteriormente à cidade. 
Por muitas décadas a sede da antiga fazenda serviu como residência da família Corrêa da Rocha, no entanto em 2013 o local foi desapropriado pelo governo e doado ao Município.
Atualmente boa parte do que aconteceu na economia e na política do Município desde a criação está presente no acervo museológico e cada cômodo do antigo casarão foi pensado para abordar temas e homenagens específicas sobre a história da cidade e da fazenda. ",Lya Maria de Abreu Guimarães,07/12/2022,OK,-22.2061080,-42.3797574
